"""Wild hares""","""野兔兵团""","""""","""""",""""""
"""Denys Drumm""","""丹尼斯·卓鼓""","""""","""""",""""""
"""Wine""","""酒""","""""","""""",""""""
"""Timoth""","""提莫斯""","""""","""""",""""""
"""House Reed""","""黎德家族""","""""","""""",""""""
"""Balerion (disambiguation)""","""贝勒里恩(消歧义)""","""""","""""",""""""
"""Long Lake""","""长湖""","""""","""""",""""""
"""Sweetsister""","""甜姐岛""","""""","""""",""""""
"""House Celtigar""","""赛提加家族""","""""","""""",""""""
"""House Locke""","""洛克家族""","""""","""""",""""""
"""Reynard Reyne""","""雷纳多·雷耶斯""","""""","""""",""""""
"""Ironborn""","""铁种""","""""","""""",""""""
"""Squinter""","""斜眼""","""""","""""",""""""
"""Leonette Fossoway""","""莱昂妮·佛索威""","""""","""""",""""""
"""Garth Greenfield""","""加尔斯·格林菲尔""","""""","""""",""""""
"""Dusky Roses""","""黑蔷薇""","""""","""""",""""""
"""Rhaena Targaryen""","""雷妮亚·坦格利安(伊耿三世之女)""","""""","""""",""""""
"""Doreah""","""多莉亚""","""""","""""",""""""
,"哈尔","","",""
"Halleck","哈尔克","","",""
"209AC","209AC","","",""
"Years after Aegon's Conquest/Calculations Ages","伊耿历纪事/年龄推断(续3)","","",""
"Yronwood","伊伦伍德城","","",""
"House Broom","布隆家族","","",""
"Chezdhar zo Rhaezn","切兹达哈·佐·拉赫赞","","",""
"Benedict Royce","贝尼狄克·罗伊斯","","",""
"Lucimore Botley","卢西莫·波特利","","",""
"Donnor Saltcliffe","唐诺·苏克利夫","","",""
"Marlon Manderly","玛龙·曼德勒","","",""
"Wenda","温妲","","",""
"Beric Dondarrion","贝里·唐德利恩","","",""
"Golden Fields","黄金原野","","",""
"Torrhen Manderly","托伦·曼德勒","","",""
"Dagon Codd","达衮·考德","","",""
"Most Devout","大主教","","",""
"First Sword of Braavos","布拉佛斯首席剑士","","",""
"Leathers","皮革","","",""
"Regenard Estren","雷根德·伊斯兰","","",""
"Essaria","维斯·卡多克","","",""
"Kingswood Brotherhood","御林兄弟会","","",""
"Lhazareen","拉札林人","","",""
"Isle of Pigs","群猪岛","","",""
"The Harpy","鹰身女妖(人物)","","",""
"Demon road","恶魔之路","","",""
"Tessarion","特赛里恩","","",""
"Fist of the First Men","先民拳峰","","",""
"Dragonstone (hill)","龙石山","","",""
"Laena Penrose","兰娜尔·庞洛斯","","",""
"Visenya's hill","维桑尼亚丘陵","","",""
"Richard Lonmouth","瑞卡德·隆莫斯","","",""
"Sylas Flatnose","扁鼻西拉斯","","",""
"Vahar","瓦哈尔","","",""
"Lizard-lion","蜥狮","","",""
"Bryen Farring","拜兰·法林","","",""
"Garizon","加佐昂","","",""
"Great Sept of Baelor","贝勒大圣堂","","",""
"Barra","芭拉","","",""
"Beron","伯隆","","",""
"Free Brothers","自由兄弟会","","",""
"Fear","恐惧号","","",""
"Green Graces","绿圣女","","",""
"Jon Lynderly","琼恩·林德利","","",""
"Black Stone","黑石","","",""
"131AC","131AC","","",""
"Henk","亨克","","",""
"Harmund Sharp","哈穆德·夏普","","",""
"Kraznys mo Nakloz","克拉兹尼·莫·纳克罗兹","","",""
"Stern Face","古板脸","","",""
"Opal Emperor","猫眼石帝","","",""
"Dunstan Drumm","邓斯坦·卓鼓","","",""
"Ternesio Terys","特尼西奥·特里斯","","",""
"Antler Men","鹿角民","","",""
"House Ashwood","阿什伍德家族","","",""
"Wylis Manderly","威里斯·曼德勒","","",""
"Daeron Vaith","戴伦·万斯","","",""
"House Durwell","德维尔家族","","",""
"Two Hearts That Beat As One","两颗跳动如一的心","","",""
"Willis Wode","维里·渥德","","",""
"Weeping Ridge","哭泣山脊","","",""
"Alchemists' Guild","炼金术士公会","","",""
"Gardens of Gelenei","热勒涅花园","","",""
"Gulltown Girl","海鸥镇少女号","","",""
"Vickon Greyjoy","维肯·葛雷乔伊","","",""
"Turrani","土拉尼","","",""
"Jafer Flowers","杰佛·佛花","","",""
"Scolera","斯科娅","","",""
"Morros Slynt","莫洛斯·史林特","","",""
"Longtable","长桌厅","","",""
"Lyonel Selmy","莱昂诺·赛尔弥","","",""
"Rowan","罗宛","","",""
"Jonos Stark","杰诺斯·史塔克","","",""
"Pate (Shermer's Grove)","佩特(谢莫林)","","",""
"House Bracken","布雷肯家族","","",""
"Harle the Handsome","英俊的哈雷","","",""
"Palla","帕拉","","",""
"Bors","鲍斯","","",""
"Elenya Westerling","艾琳妮亚·维斯特林","","",""
"Bonetown","骨镇","","",""
"Yorkel","约克尔","","",""
"Far Ib","远伊班岛","","",""
"Alys Karstark","亚丽·卡史塔克","","",""
"Saath","塞阿斯","","",""
"History of the Rhoynish Wars","洛伊拿战争史","","",""
"House Mallery","马勒里家族","","",""
"House Serrett","沙略特家族","","",""
"Come-into-my-castle","进我的城堡","","",""
"The Maids that Bloom in Spring","春天绽放的春花","","",""
"Arya Stark","艾莉亚·史塔克","","",""
"Ragwyle","芮温勒","","",""
"Hyle Hunt","海尔·亨特","","",""
"Saltcliffe","盐崖岛","","",""
"Ghostskin","幽灵草","","",""
"Jorah Mormont","乔拉·莫尔蒙","","",""
"Widow's Sons","寡妇的儿子们","","",""
"Ezzara","札拉","","",""
"Perkin Follard","佩金·佛拉德","","",""
"Weese","威斯","","",""
"House of the Undying","不朽之殿","","",""
"House Slynt","史林特家族","","",""
"Fourth Blackfyre Rebellion","第四次黑火叛乱","","",""
"Red Deer Island","红鹿岛","","",""
"Ermesande Hayford","艾弥珊德·哈佛","","",""
"Mad Huntsman","疯猎人","","",""
"Mudge (Banners)","墨吉","","",""
"House Mallister","梅利斯特家族","","",""
"Robyn Ryswell","罗宾·莱斯威尔","","",""
"Foghouse","雾宅","","",""
"Ormund Baratheon","蒙德·拜拉席恩","","",""
"Willing Maiden","奴隶贩子之嚎号","","",""
"Haystack Hall","干草厅","","",""
"Duran","杜兰","","",""
"Harridan Hill","赫利丹岭","","",""
"corsairs","海盗","","",""
"Balerion (cat)","贝勒里恩(猫)","","",""
"Honeywine","蜜酒河","","",""
"Ogo","奥戈","","",""
"Usurper","篡夺者","","",""
"Dance of the Dragons (disambiguation)","血龙狂舞(消歧义)","","",""
"Rhaego","雷戈","","",""
"Helya","海莉亚","","",""
"Cat","猫号","","",""
"Denestan","德内斯坦","","",""
"Battle of Torrhen's Square","托伦方城之战","","",""
"Mad Prendos","疯狂普兰多号","","",""
"Hightower","参天塔","","",""
"House Farwynd","法温家族","","",""
"Old Mother's Son","老母之子号","","",""
"Damon Morrigen","达蒙·莫里根","","",""
"Myles","米斯","","",""
"Smallfolk","平民","","",""
"Daemon II Blackfyre","戴蒙·黑火二世","","",""
"Camel","骆驼","","",""
"Isle of Birds","鸟儿岛","","",""
"Daella Targaryen (daughter of Jaehaerys I)","丹妮菈·坦格利安(杰赫里斯一世之女)","","",""
"Merrell Florent","梅瑞尔·佛罗伦","","",""
"A Feast for Crows","群鸦的盛宴","","",""
"Manticore","蝎尾兽","","",""
"Cuger","库甘","","",""
"Loptail","断尾","","",""
"Eon Hunter","伊恩·杭特","","",""
"Hesh","赫西","","",""
"Jon Wylde","琼恩·威尔德","","",""
"Elyria","埃利亚","","",""
"Gilwood Hunter","杰伍德·杭特","","",""
"Mark Ryswell","马克·莱斯威尔","","",""
"House Allyrion","艾利昂家族","","",""
"Elmar Frey","艾尔玛·佛雷","","",""
"Xhondo","崇","","",""
"Castle Black","黑城堡","","",""
"Oldtown","旧镇","","",""
"Greensight","绿之视野","","",""
"Artys Arryn","阿提斯·艾林","","",""
"Rushing Falls","急流瀑","","",""
"Whitetree","白树村","","",""
"Dragonpit","龙穴","","",""
"Westwatch-by-the-Bridge","西桥望","","",""
"Battle of the Trident","三叉戟河之役","","",""
"Ramsford","公羊渡","","",""
"Aemon Blackfyre","伊蒙·黑火","","",""
"Davos Baratheon","戴佛斯·拜拉席恩","","",""
"Allar Deem","亚拉尔·狄姆","","",""
"Dreamwine","安眠酒","","",""
"Torches","烽火台","","",""
"Garth (Greenaway)","加尔斯(格林纳威)","","",""
"House Goodbrother of Orkmont","奥克蒙岛的古柏勒家族","","",""
"Quence","昆斯","","",""
"Goghor","格鲁尔","","",""
"Meryn III Gardener","马林·园丁三世","","",""
"Guyne","古伊雷","","",""
"Mormont's Torch","莫尔蒙的火炬","","",""
"Torren Liddle","托伦·里德尔","","",""
"Richard Morrigen","里查德·莫里根","","",""
"Redwyne Straits","雷德温海峡","","",""
"Mellario of Norvos","诺佛斯的梅拉莉欧","","",""
"Danelle Lothston","丹奈尔·罗斯坦","","",""
"House Hornwood","霍伍德家族","","",""
"House Dustin","达斯丁家族","","",""
"Warhammer","战锤号","","",""
"Astronomy","天文","","",""
"Imry Florent","伊姆瑞·佛罗伦","","",""
"Ocean Road","滨海大道","","",""
"Kedry","凯德里","","",""
"House Gargalen","戈根勒斯家族","","",""
"Sack of Torrhen's Square","托伦方城突袭战","","",""
"Swordfish","剑鱼号","","",""
"Horseshoe Rock","马蹄岩","","",""
"ships","船只","","",""
"Alesander Frey","亚历山大·佛雷","","",""
"Hareth (Mole's Town)","哈里士","","",""
"Morra","莫拉","","",""
"Lorren","罗伦","","",""
"Fury","怒火号","","",""
"Erreck","艾瑞克","","",""
"Jacelyn Bywater","杰斯林·拜瓦特","","",""
"Arbor Queen","青亭女王号","","",""
"Crone's Lantern (constellation)","老妪之灯座","","",""
"Gormon Massey","葛曼·马赛","","",""
"Grey Wind","灰�"""wraith""","""海灵号""","""""","""""",""""""
"""Dothraki""","""多斯拉克人""","""""","""""",""""""
"""Stone dragon""","""石龙""","""""","""""",""""""
"""Turnip""","""芜菁""","""""","""""",""""""
"""Garth Greenhand""","""“青手”加尔斯""","""""","""""",""""""
"""Mhaegen""","""梅玵""","""""","""""",""""""
"""Lady's Shame""","""夫人之耻号""","""""","""""",""""""
"""Alannys Harlaw""","""亚拉妮丝·哈尔洛""","""""","""""",""""""
"""Oxcross""","""牛津镇""","""""","""""",""""""
"""Grazdan mo Eraz""","""格拉兹旦·莫·厄拉兹""","""""","""""",""""""
"""Centaurs""","""半人马""","""""","""""",""""""
"""Ramsay Bolton""","""拉姆斯·波顿""","""""","""""",""""""
"""Great Kraken""","""泓洋巨怪号""","""""","""""",""""""
"""Patrek of King's Mountain""","""国王山的派崔克""","""""","""""",""""""
"""Andal Invasion""","""安达尔人入侵""","""""","""""",""""""
"""Jason Lannister (disambiguation)""","""杰森·兰尼斯特(消歧义)""","""""","""""",""""""
"""Harmune""","""哈慕恩(博士)""","""""","""""",""""""
"""Korra""","""柯拉""","""""","""""",""""""
"""Last Hearth""","""最后壁炉城""","""""","""""",""""""
"""Daemon III Blackfyre""","""戴蒙·黑火三世""","""""","""""",""""""
"""Hagen's daughter""","""霍根的女儿""","""""","""""",""""""
"""Arlan of Pennytree""","""铜分树村的阿兰""","""""","""""",""""""
"""Order of the Green Hand""","""绿手骑士团""","""""","""""",""""""
"""Bodger""","""波吉""","""""","""""",""""""
"""Red Rain""","""红雨""","""""","""""",""""""
"""Giants""","""巨人""","""""","""""",""""""
"""Fire and Blood""","""血与火(现实作品)""","""""","""""",""""""
"""Rodrik Stark""","""罗德利克·史塔克""","""""","""""",""""""
"""The Princess and the Queen""","""危险的女人""","""""","""""",""""""
"""House Cole""","""科尔家族""","""""","""""",""""""
"""Colloquo Votar""","""柯洛阔·弗塔""","""""","""""",""""""
"""City of the Winged Men""","""翼人城""","""""","""""",""""""
"""Wynafrei Whent""","""维纳芙·河安""","""""","""""",""""""
"""Rohanne Webber""","""罗翰妮·维伯""","""""","""""",""""""
"""Thoros of Myr""","""密尔的索罗斯""","""""","""""",""""""
"""Six sisters (trebuchets)""","""六姐妹""","""""","""""",""""""
"""Bill Bone""","""老骨头比尔""","""""","""""",""""""
"""Bog devils""","""沼泽魔鬼""","""""","""""",""""""
"""Assadora of Ibben""","""伊班的艾萨朵拉""","""""","""""",""""""
"""Jaehaerys Targaryen (son of Aerys II)""","""杰赫里斯·坦格利安(伊里斯二世之子)""","""""","""""",""""""
"""Wailing Tower""","""号哭塔""","""""","""""",""""""
"""Fellwood""","""费尔伍德城""","""""","""""",""""""
"""The Sworn Sword""","""誓言骑士""","""""","""""",""""""
"""Jaremy Rykker""","""杰瑞米·莱克""","""""","""""",""""""
"""Clarence Crabb""","""克莱伦斯·克莱勃""","""""","""""",""""""
"""Iron Vengeance""","""复仇铁种号""","""""","""""",""""""
"""Dale Drumm""","""戴尔·卓鼓""","""""","""""",""""""
"""House Upcliff""","""厄利夫家族""","""""","""""",""""""
"""Sea of Sighs""","""叹息之海""","""""","""""",""""""
"""Erena Glover""","""艾娜·葛洛佛""","""""","""""",""""""
"""Grey Jeyne""","""灰简妮""","""""","""""",""""""
"""Lhazar""","""拉札""","""""","""""",""""""
"""","""哈尔""","""""","""""",""""""
"""Halleck""","""哈尔克""","""""","""""",""""""
"""209AC""","""209AC""","""""","""""",""""""
"""Years after Aegon's Conquest/Calculations Ages""","""伊耿历纪事/年龄推断(续3)""","""""","""""",""""""
"""Yronwood""","""伊伦伍德城""","""""","""""",""""""
"""House Broom""","""布隆家族""","""""","""""",""""""
"""Chezdhar zo Rhaezn""","""切兹达哈·佐·拉赫赞""","""""","""""",""""""
"""Benedict Royce""","""贝尼狄克·罗伊斯""","""""","""""",""""""
"""Lucimore Botley""","""卢西莫·波特利""","""""","""""",""""""
"""Donnor Saltcliffe""","""唐诺·苏克利夫""","""""","""""",""""""
"""Marlon Manderly""","""玛龙·曼德勒""","""""","""""",""""""
"""Wenda""","""温妲""","""""","""""",""""""
"""Beric Dondarrion""","""贝里·唐德利恩""","""""","""""",""""""
"""Golden Fields""","""黄金原野""","""""","""""",""""""
"""Torrhen Manderly""","""托伦·曼德勒""","""""","""""",""""""
"""Dagon Codd""","""达衮·考德""","""""","""""",""""""
"""Most Devout""","""大主教""","""""","""""",""""""
"""First Sword of Braavos""","""布拉佛斯首席剑士""","""""","""""",""""""
"""Leathers""","""皮革""","""""","""""",""""""
"""Regenard Estren""","""雷根德·伊斯兰""","""""","""""",""""""
"""Essaria""","""维斯·卡多克""","""""","""""",""""""
"""Kingswood Brotherhood""","""御林兄弟会""","""""","""""",""""""
"""Lhazareen""","""拉札林人""","""""","""""",""""""
"""Isle of Pigs""","""群猪岛""","""""","""""",""""""
"""The Harpy""","""鹰身女妖(人物)""","""""","""""",""""""
"""Demon road""","""恶魔之路""","""""","""""",""""""
"""Tessarion""","""特赛里恩""","""""","""""",""""""
"""Fist of the First Men""","""先民拳峰""","""""","""""",""""""
"""Dragonstone (hill)""","""龙石山""","""""","""""",""""""
"""Laena Penrose""","""兰娜尔·庞洛斯""","""""","""""",""""""
"""Visenya's hill""","""维桑尼亚丘陵""","""""","""""",""""""
"""Richard Lonmouth""","""瑞卡德·隆莫斯""","""""","""""",""""""
"""Sylas Flatnose""","""扁鼻西拉斯""","""""","""""",""""""
"""Vahar""","""瓦哈尔""","""""","""""",""""""
"""Lizard-lion""","""蜥狮""","""""","""""",""""""
"""Bryen Farring""","""拜兰·法林""","""""","""""",""""""
"""Garizon""","""加佐昂""","""""","""""",""""""
"""Great Sept of Baelor""","""贝勒大圣堂""","""""","""""",""""""
"""Barra""","""芭拉""","""""","""""",""""""
"""Beron""","""伯隆""","""""","""""",""""""
"""Free Brothers""","""自由兄弟会""","""""","""""",""""""
"""Fear""","""恐惧号""","""""","""""",""""""
"""Green Graces""","""绿圣女""","""""","""""",""""""
"""Jon Lynderly""","""琼恩·林德利""","""""","""""",""""""
"""Black Stone""","""黑石""","""""","""""",""""""
"""131AC""","""131AC""","""""","""""",""""""
"""Henk""","""亨克""","""""","""""",""""""
"""Harmund Sharp""","""哈穆德·夏普""","""""","""""",""""""
"""Kraznys mo Nakloz""","""克拉兹尼·莫·纳克罗兹""","""""","""""",""""""
"""Stern Face""","""古板脸""","""""","""""",""""""
"""Opal Emperor""","""猫眼石帝""","""""","""""",""""""
"""Dunstan Drumm""","""邓斯坦·卓鼓""","""""","""""",""""""
"""Ternesio Terys""","""特尼西奥·特里斯""","""""","""""",""""""
"""Antler Men""","""鹿角民""","""""","""""",""""""
"""House Ashwood""","""阿什伍德家族""","""""","""""",""""""
"""Wylis Manderly""","""威里斯·曼德勒""","""""","""""",""""""
"""Daeron Vaith""","""戴伦·万斯""","""""","""""",""""""
"""House Durwell""","""德维尔家族""","""""","""""",""""""
"""Two Hearts That Beat As One""","""两颗跳动如一的心""","""""","""""",""""""
"""Willis Wode""","""维里·渥德""","""""","""""",""""""
"""Weeping Ridge""","""哭泣山脊""","""""","""""",""""""
"""Alchemists' Guild""","""炼金术士公会""","""""","""""",""""""
"""Gardens of Gelenei""","""热勒涅花园""","""""","""""",""""""
"""Gulltown Girl""","""海鸥镇少女号""","""""","""""",""""""
"""Vickon Greyjoy""","""维肯·葛雷乔伊""","""""","""""",""""""
"""Turrani""","""土拉尼""","""""","""""",""""""
"""Jafer Flowers""","""杰佛·佛花""","""""","""""",""""""
"""Scolera""","""斯科娅""","""""","""""",""""""
"""Morros Slynt""","""莫洛斯·史林特""","""""","""""",""""""
"""Longtable""","""长桌厅""","""""","""""",""""""
"""Lyonel Selmy""","""莱昂诺·赛尔弥""","""""","""""",""""""
"""Rowan""","""罗宛""","""""","""""",""""""
"""Jonos Stark""","""杰诺斯·史塔克""","""""","""""",""""""
"""Pate (Shermer's Grove)""","""佩特(谢莫林)""","""""","""""",""""""
"""House Bracken""","""布雷肯家族""","""""","""""",""""""
"""Harle the Handsome""","""英俊的哈雷""","""""","""""",""""""
��","","",""
"Lucantine Woodwright","卢坎迪·伍德怀特","","",""
"Lothar Mallery","罗沙·马勒里","","",""
"Walda Rivers (daughter of Aemon)","瓦妲·河文(伊蒙·河文之女)","","",""
"House Waxley","魏克利家族","","",""
"Rimegate","冰晶门","","",""
"Barba Bracken","芭芭·布雷肯","","",""
"Chiggen","契根","","",""
"Leng Ma","雷·玛","","",""
"Wyl","韦尔","","",""
"Gorne","戈尼","","",""
"Weeping Tower","哭泣塔","","",""
"Reach proper","河湾区","","",""
"Old Tattersalt","老破烂","","",""
"Hoster Frey","霍斯特·佛雷","","",""
"Lady of Spears","长矛女士","","",""
"House Grandison","格兰德森家族","","",""
"Windproud","傲风号","","",""
"Small council","御前会议","","",""
"Todric","托德利克","","",""
"House Baratheon","拜拉席恩家族","","",""
"Viserys II Targaryen","韦赛里斯·坦格利安二世","","",""
"Aemond Targaryen","伊蒙德·坦格利安","","",""
"Dragonrider","驭龙者","","",""
"Kingslander","君临号","","",""
"Skahazadhan","斯卡札丹河","","",""
"Grazdan zo Galare","格拉兹旦·佐·卡拉勒","","",""
"Benedict Broom","本德特·布隆","","",""
"Whalen Frey","惠伦·佛雷","","",""
"Ebonhead","檀头镇","","",""
"Manfred Hightower","曼佛德·海塔尔","","",""
"Beastmaster","兽舍掌管","","",""
"Halys Hornwood","哈瑞斯·霍伍德","","",""
"Byron Swann","拜伦·史文","","",""
"Beron Blacktyde","贝隆·布莱克泰斯","","",""
"Borroq","野猪","","",""
"Zhoe Blanetree","佐娜·班树","","",""
"Gogossos","高高索斯","","",""
"Pearl-white emperors","白珠王朝","","",""
"Velvet Hills","天鹅绒丘陵","","",""
"Snowlocks","雪发","","",""
"Battle of Six Kings","六王之役","","",""
"Siege of Raventree","鸦树城攻防战","","",""
"Megette","梅盖忒","","",""
"Leo Blackbar","里奥·布莱巴尔","","",""
"Aegon Targaryen (son of Aerys II)","伊耿·坦格利安(伊里斯二世之子)","","",""
"Sheepshead Hills","羊头山","","",""
"Sansa Stark","珊莎·史塔克","","",""
"Willis Fell","维里·费尔","","",""
"House Fell","费尔家族","","",""
"Rodwell Stark","罗德威·史塔克","","",""
"Dagon Greyjoy (Drunkard)","达衮·葛雷乔伊(醉鬼)","","",""
"House Toyne","托因家族","","",""
"House Prester","普莱斯特家族","","",""
"Princess of Dorne","多恩亲王","","",""
"Gavin","盖文","","",""
"Titan's Daughter","泰坦之女号","","",""
"Monford Velaryon","蒙福德·瓦列利安","","",""
"Stallion (constellation)","骏马座","","",""
"Meldred Merlyn","梅德瑞德·梅林","","",""
"Narbert","纳伯特","","",""
"Dry Deep","大干沟","","",""
"Hardhand","强手号","","",""
"Triston","崔斯顿","","",""
"Eastwatch-by-the-Sea","东海望","","",""
"Mudge","马奇","","",""
"The Rogue Prince or A King’s Brother","游侠王子","","",""
"Jon Florent","琼恩·佛罗伦","","",""
"Gilbert Farring","吉尔伯特·法林","","",""
"House Mooton","慕顿家族","","",""
"Mylenda Caron","米兰塔·卡伦","","",""
"Tumbleton","腾石镇","","",""
"Skyte","斯基特","","",""
"Mord","莫德","","",""
"Tumblestone","腾石河","","",""
"Cannibal Sands","食人沙漠","","",""
"Terro","泰洛","","",""
"House Foote","福特家族","","",""
"The Three Exiles","三流放者群岛","","",""
"Garth V Gardener","加尔斯·园丁五世","","",""
"Sailor's Wife","水手之妻","","",""
"Pretty Pig","美女猪","","",""
"Devilgrass","恶魔草","","",""
"House Greenfield","格林菲尔家族","","",""
"Dragonlords","龙王","","",""
"Jarl","贾尔","","",""
"Stonehand","石手","","",""
"Fair Isle","仙女岛","","",""
"Lionstar","狮星号","","",""
"Vogarro","瓦加罗","","",""
"Shirei Frey","希琳·佛雷","","",""
"House Wells","威尔斯家族","","",""
"Mollono Yos Dob","莫罗诺·已欧斯·杜博","","",""
"Southshield","南盾岛","","",""
"Brella","贝蕾娜","","",""
"Sarya Whent","莎娅·河安","","",""
"Runceford Redwyne","伦赛佛德·雷德温","","",""
"Quellon Greyjoy","科伦·葛雷乔伊","","",""
"Handsome Man","美男子","","",""
"Mountains of the Moon","明月山脉","","",""
"House Arryn","艾林家族","","",""
"When Willum's Wife Was Wet","威廉的老婆湿透了","","",""
"Corlys Velaryon (Kingsguard)","科利斯·瓦列利安(御林铁卫)","","",""
"Battle Valley","战争谷","","",""
"Allaquo","艾拉括","","",""
"Lyman Beesbury","林曼·毕斯柏里","","",""
"Godsgrace","神恩城","","",""
"House Melcolm","马尔寇家族","","",""
"House Dayne","戴恩家族","","",""
"Greydon Gardener","葛雷顿·园丁","","",""
"Morgarth","莫苟斯","","",""
"Daven Lannister","达冯·兰尼斯特","","",""
"Longsister","长姐岛","","",""
"Grazdan mo Ullhor","格拉兹旦·莫·乌尔霍","","",""
"Kegs","木桶","","",""
"Isle of Cedars","雪松岛","","",""
"Sniff","嗅探","","",""
"Greenseer","绿先知","","",""
"Tower of Joy","极乐塔","","",""
"Gwayne Gaunt","加尔温·戈特","","",""
"Wonders Made by Man","人造奇迹","","",""
"A Thousand Eyes and One","一千零一只眼睛","","",""
"Lamentation (sword)","哀悼","","",""
"Widow's Watch","寡妇望","","",""
"Brandon Snow","布兰登·雪诺","","",""
"Bold Laughter","笑者号","","",""
"Purple Lotus","紫莲花","","",""
"House Blackmyre","黑泽家族","","",""
"Tristan Mudd","崔斯坦·穆德","","",""
"Lum","鲁姆","","",""
"The Burning of the Ships","焚船","","",""
"212AC","212AC","","",""
"House Blackbar","布莱巴尔家族","","",""
"House Sarsfield","萨斯菲尔德家族","","",""
"Brandon Stark (son of Artos)","布兰登·史塔克(阿托斯之子)","","",""
"Seasmoke","海烟","","",""
"Therry","提瑞","","",""
"Manly Stokeworth","曼力·史铎克渥斯","","",""
"Wulfe","沃费","","",""
"Bellena Hawick","贝娜娜·哈维克","","",""
"Orwyle","欧维尔","","",""
"House Woods","树木氏族","","",""
"Battle of Summerhall","盛夏厅之战","","",""
"Torgon Greyiron","托衮·葛雷艾恩","","",""
"Braavos","布拉佛斯","","",""
"Pronunciation guide","发音规范","","",""
"Whispering Sound","低语湾","","",""
"Koss","寇斯","","",""
"Marianne Vance","玛蕊莲·凡斯","","",""
"Harrold Hardyng","哈罗德·哈顿","","",""
"Skyreach","天及城","","",""
"Harodon","哈东印","","",""
"New Ghis","新吉斯","","",""
"Tyraxes","泰雷克休","","",""
"Walgrave","沃格雷夫","","",""
"Battle of Castle Black","黑城堡之战","","",""
"Blindeye","瞎眼毒","","",""
"Emberlei Frey","恩蕃莉·佛雷","","",""
"Zekko","哲科","","",""
"Steffon Frey","史蒂芬·佛雷","","",""
"Turquin","特奎因","","",""
"Harras Harlaw","赫拉斯·哈尔洛","","",""
"Grunt","咕噜","","",""
"Balon Swann","巴隆·史文","","",""
"Hellholt","狱门堡","","",""
"Colemon","柯蒙","","",""
"Ralph Buckler","拉尔夫·布克勒","","",""
"Lord Vickon","维肯大王号","","",""
"Lyra Mormont","莱拉·莫尔蒙","","",""
"Roger Hogg","罗杰·霍格","","",""
"Mern II Gardener","孟恩·园丁二世","","",""
"Asabhad","阿萨伯哈德","","",""
"Disputed Lands","争议之地","","",""
"Zahrina","扎哈娜","","",""
"Unicorns","独角兽","","",""
"Goldroad","黄金大道","","",""
"Ronnel Harclay","罗纳·哈克莱","","",""
"Irri","伊丽","","",""
"Lucos Chyttering","卢科斯·齐特林","","",""
"Undying Ones","不朽者","","",""
"Children's Tower","森林之子塔","","",""
"Weatherback Ridge","风云岗","","",""
"Derp","德普","","",""
"Maekar I Targaryen","梅卡·坦格利安一世","","",""
"Harys Haigh","哈瑞斯·海伊","","",""
"Brightfish","亮鱼号","","",""
"House Holt","霍尔特家族","","",""
"Torrhen Karstark","托伦·卡史塔克","","",""
"Mya Rivers","米亚·河文","","",""
"Marq Piper","马柯·派柏","","",""
"Conquest of Dorne","征服多恩","","",""
"Shierle Swyft","西迩乐·史威佛","","",""
"Battle of Rook's Rest","鸦栖堡之战","","",""
"Cockleswent","舟徙河","","",""
"Hosteen Frey","霍斯丁·佛雷","","",""
"Lanna Lannister","拉娜·兰尼斯特","","",""
"Shiera Seastar","西蕊·洋星","","",""
"Myranda Royce","米兰达·罗伊斯","","",""
"King's Crown (constellation)","王冠座","","",""
"Hugh Hungerford","修�"""Palla""","""帕拉""","""""","""""",""""""
"""Bors""","""鲍斯""","""""","""""",""""""
"""Elenya Westerling""","""艾琳妮亚·维斯特林""","""""","""""",""""""
"""Bonetown""","""骨镇""","""""","""""",""""""
"""Yorkel""","""约克尔""","""""","""""",""""""
"""Far Ib""","""远伊班岛""","""""","""""",""""""
"""Alys Karstark""","""亚丽·卡史塔克""","""""","""""",""""""
"""Saath""","""塞阿斯""","""""","""""",""""""
"""History of the Rhoynish Wars""","""洛伊拿战争史""","""""","""""",""""""
"""House Mallery""","""马勒里家族""","""""","""""",""""""
"""House Serrett""","""沙略特家族""","""""","""""",""""""
"""Come-into-my-castle""","""进我的城堡""","""""","""""",""""""
"""The Maids that Bloom in Spring""","""春天绽放的春花""","""""","""""",""""""
"""Arya Stark""","""艾莉亚·史塔克""","""""","""""",""""""
"""Ragwyle""","""芮温勒""","""""","""""",""""""
"""Hyle Hunt""","""海尔·亨特""","""""","""""",""""""
"""Saltcliffe""","""盐崖岛""","""""","""""",""""""
"""Ghostskin""","""幽灵草""","""""","""""",""""""
"""Jorah Mormont""","""乔拉·莫尔蒙""","""""","""""",""""""
"""Widow's Sons""","""寡妇的儿子们""","""""","""""",""""""
"""Ezzara""","""札拉""","""""","""""",""""""
"""Perkin Follard""","""佩金·佛拉德""","""""","""""",""""""
"""Weese""","""威斯""","""""","""""",""""""
"""House of the Undying""","""不朽之殿""","""""","""""",""""""
"""House Slynt""","""史林特家族""","""""","""""",""""""
"""Fourth Blackfyre Rebellion""","""第四次黑火叛乱""","""""","""""",""""""
"""Red Deer Island""","""红鹿岛""","""""","""""",""""""
"""Ermesande Hayford""","""艾弥珊德·哈佛""","""""","""""",""""""
"""Mad Huntsman""","""疯猎人""","""""","""""",""""""
"""Mudge (Banners)""","""墨吉""","""""","""""",""""""
"""House Mallister""","""梅利斯特家族""","""""","""""",""""""
